feature,fold_id,test_date,coefficient,model,theme,description
X_feature_market_cap_log_std252,0,1998-09-03,-0.0052400692366063595,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,1,2001-01-22,0.0065849570867915945,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,2,2003-06-13,0.0048049619266142445,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,3,2005-10-28,0.003973270688826839,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,4,2008-03-20,0.007835733238607645,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,5,2010-08-06,0.01290239735196034,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,6,2012-12-24,0.006315461980799834,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,7,2015-05-14,0.004253484929601352,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,8,2017-09-29,0.0023940297154088816,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,9,2020-02-20,0.001677457825280726,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,10,2022-07-08,0.0029350825740645328,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std252,11,2024-11-25,0.005020899542917808,ridge,Size,how much log market cap moved over 252 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,0,1998-09-03,0.017600469291210175,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,1,2001-01-22,0.026969831436872482,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,2,2003-06-13,0.027842672541737556,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,3,2005-10-28,0.03437414144476255,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,4,2008-03-20,0.02620886079967022,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,5,2010-08-06,0.023763469730814297,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,6,2012-12-24,0.025786524017651875,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
