predictor_a,predictor_b,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
X_feature_price_bb_pct5,X_feature_price_final_to_high90_exclude10,-0.016374,-0.001503,-0.069494,0.000479,-0.030706,-0.000157,-0.023330,-0.011901,-0.035464,-0.031095,-0.001329,0.013876,-0.025062,-0.039339,0.014388,-0.038936,-0.010302,-0.069233,-0.038152,-0.044064,-0.054623,-0.009985,-0.038597,-0.034597
X_feature_price_bb_pct5,X_feature_price_price_to_max252,-0.229431,-0.195367,-0.228891,-0.117975,-0.159998,-0.206524,-0.254655,-0.217370,-0.230625,-0.236686,-0.136893,-0.126585,-0.250936,-0.230219,-0.150728,-0.308912,-0.231094,-0.243782,-0.190353,-0.265095,-0.243593,-0.173752,-0.220417,-0.301982
X_feature_price_bb_pct5,X_feature_price_final_to_high252_exclude21,-0.026162,-0.004779,-0.070973,0.000089,-0.036798,-0.004229,-0.019894,-0.013707,-0.039809,-0.034138,-0.027075,0.005324,-0.037477,-0.048297,0.003720,-0.043763,-0.008528,-0.084488,-0.028664,-0.045911,-0.042849,-0.012275,-0.053406,-0.026850
X_feature_price_bb_pct5,X_feature_price_lag1,0.393306,0.401407,0.423500,0.368550,0.332080,0.349515,0.350841,0.362213,0.395790,0.388301,0.359093,0.347516,0.369729,0.343291,0.366036,0.380658,0.363727,0.351853,0.360329,0.390341,0.391011,0.375536,0.375892,0.337310
X_feature_price_bb_pct5,X_feature_price_ret21_shift0,0.288497,0.334113,0.310677,0.275267,0.293704,0.275164,0.295688,0.285545,0.283777,0.284891,0.261920,0.256662,0.276046,0.274365,0.272861,0.276332,0.288396,0.316286,0.293392,0.306728,0.326035,0.293835,0.279540,0.309521
X_feature_price_bb_pct5,X_feature_price_ret10_shift0,0.427862,0.467953,0.457172,0.417441,0.435340,0.418877,0.431309,0.421250,0.419604,0.424726,0.422950,0.402873,0.420454,0.389681,0.433744,0.405894,0.422369,0.444476,0.439056,0.447901,0.445756,0.437241,0.411063,0.444106
X_feature_price_bb_pct5,X_feature_price_ret5_shift0,0.649948,0.665208,0.668367,0.631851,0.646645,0.622468,0.642627,0.642838,0.641204,0.626671,0.629594,0.601851,0.627133,0.587554,0.637666,0.617433,0.632422,0.628810,0.637921,0.685076,0.659825,0.648059,0.604347,0.653732
X_feature_price_bb_pct5,X_feature_price_downside_vol10,-0.175770,-0.130182,-0.204429,-0.147902,-0.173927,-0.180575,-0.209878,-0.188676,-0.210816,-0.194524,-0.139722,-0.165152,-0.201763,-0.181312,-0.186033,-0.226552,-0.232850,-0.237003,-0.210182,-0.263273,-0.233955,-0.211981,-0.227613,-0.220775
X_feature_price_bb_pct5,X_feature_price_downside_vol21,-0.093997,-0.038714,-0.135398,-0.075602,-0.113659,-0.095329,-0.119556,-0.090918,-0.129652,-0.109603,-0.067424,-0.083190,-0.117258,-0.113493,-0.090862,-0.149686,-0.136974,-0.157107,-0.116562,-0.165772,-0.148040,-0.116143,-0.161438,-0.125782
X_feature_price_bb_pct5,X_feature_price_vol10,0.013068,0.087623,-0.036896,-0.001800,-0.032782,-0.013673,-0.025199,0.007519,-0.032543,0.004952,0.018095,-0.011712,-0.029472,-0.035427,-0.011944,-0.056301,-0.059471,-0.056647,-0.040704,-0.082798,-0.054869,-0.051799,-0.065268,-0.037512
X_feature_price_bb_pct5,X_feature_price_upside_vol10,0.175649,0.241075,0.112357,0.137416,0.132439,0.134117,0.149444,0.179481,0.135287,0.169861,0.167210,0.119130,0.123481,0.115917,0.149117,0.120848,0.132029,0.148931,0.145269,0.130511,0.154286,0.139681,0.107092,0.158099
X_feature_price_bb_pct5,X_feature_price_upside_vol21,0.077955,0.151743,0.019873,0.057773,0.028306,0.049668,0.061623,0.096457,0.044003,0.084980,0.075432,0.039540,0.038767,0.041486,0.053685,0.036141,0.055119,0.051859,0.064186,0.041362,0.079446,0.065101,0.018110,0.058386
X_feature_price_bb_pct5,X_feature_price_upside_vol63,0.024739,0.101924,-0.039531,0.010714,-0.025272,0.001448,0.006188,0.041874,-0.008977,0.034575,0.024687,-0.008506,-0.006575,0.002016,0.011254,-0.022031,-0.007588,-0.014980,0.017438,-0.025780,0.026230,0.009695,-0.028458,0.011598
X_feature_price_bb_pct5,X_feature_price_atr5,0.006258,0.072925,-0.047489,-0.014480,-0.064217,-0.013430,-0.021272,0.011790,-0.038426,0.008609,-0.004773,-0.011432,-0.018256,-0.021457,-0.015266,-0.052409,-0.042599,-0.068746,-0.044148,-0.091146,-0.079993,-0.046019,-0.065933,-0.029837
X_feature_price_bb_pct5,X_feature_price_downside_vol126,-0.029129,0.045144,-0.083645,-0.015886,-0.063126,-0.031557,-0.047803,-0.012036,-0.067294,-0.035299,-0.030036,-0.029982,-0.044525,-0.051056,-0.017817,-0.067011,-0.062335,-0.095470,-0.032553,-0.077482,-0.061520,-0.022982,-0.071626,-0.044163
X_feature_price_bb_pct5,X_feature_price_downside_vol63,-0.038734,0.026226,-0.091215,-0.026503,-0.073406,-0.044640,-0.061870,-0.035525,-0.079403,-0.054251,-0.033114,-0.038287,-0.055754,-0.066816,-0.031890,-0.084615,-0.074011,-0.115026,-0.058538,-0.095127,-0.085239,-0.040112,-0.093163,-0.064969
X_feature_price_bb_pct5,X_feature_price_atr21,-0.007080,0.066191,-0.065311,-0.011571,-0.056916,-0.025794,-0.033105,0.005891,-0.047200,-0.004431,-0.006591,-0.025769,-0.037631,-0.031516,-0.017789,-0.058337,-0.043340,-0.070631,-0.033746,-0.077723,-0.049414,-0.025167,-0.070689,-0.026304
X_feature_price_bb_pct5,X_feature_price_atr126,-0.003142,0.070189,-0.068854,-0.008322,-0.053733,-0.021985,-0.033062,0.015100,-0.050169,-0.003232,-0.018382,-0.027487,-0.033445,-0.027002,-0.011886,-0.053492,-0.045634,-0.069225,-0.022805,-0.066959,-0.038491,-0.017730,-0.050747,-0.016556
X_feature_price_bb_pct5,X_feature_price_vol252,-0.008378,0.071204,-0.064465,-0.004469,-0.056815,-0.019254,-0.035695,0.015917,-0.048001,0.007547,-0.013120,-0.026467,-0.024951,-0.029334,-0.008793,-0.042937,-0.043969,-0.062459,-0.019922,-0.061680,-0.025485,-0.012224,-0.059940,-0.001031
X_feature_price_bb_pct5,X_feature_market_cap_log_identity,-0.061096,-0.068008,-0.044224,-0.010556,-0.036599,-0.000610,-0.021709,-0.020585,-0.051862,-0.030375,-0.048488,-0.023499,-0.034830,-0.050950,-0.026757,-0.023431,-0.048046,-0.042821,-0.015680,-0.058521,-0.059072,-0.023904,-0.077827,-0.036364
X_feature_price_bb_pct5,X_feature_market_cap_log_std21,-0.014490,0.049038,-0.054598,0.001139,-0.052998,0.001164,-0.002426,0.016990,-0.030098,0.001970,-0.031026,-0.003744,-0.008717,-0.008052,-0.007357,-0.014443,-0.027506,-0.060980,-0.011646,-0.037303,-0.032355,-0.003632,-0.044457,-0.005075
