date,theme,ic
1998-11-09,Liquidity & volume,0.101411
1998-11-09,Market correlation,0.109121
1998-11-09,Short positioning,0.169800
1998-11-16,Momentum & trend,0.185380
1998-11-16,Short-term reversal,0.041678
1998-11-16,Volatility,-0.013623
1998-11-16,Size,0.140665
1998-11-16,Liquidity & volume,0.096326
1998-11-16,Market correlation,0.081176
1998-11-16,Short positioning,0.103070
1998-11-23,Momentum & trend,0.270119
1998-11-23,Short-term reversal,-0.000842
1998-11-23,Volatility,-0.004465
1998-11-23,Size,0.172541
1998-11-23,Liquidity & volume,0.018823
1998-11-23,Market correlation,0.043121
1998-11-23,Short positioning,0.070953
1998-12-01,Momentum & trend,0.310867
1998-12-01,Short-term reversal,0.001328
1998-12-01,Volatility,0.029347
1998-12-01,Size,0.219923
1998-12-01,Liquidity & volume,0.019070
1998-12-01,Market correlation,0.071313
1998-12-01,Short positioning,0.044692
1998-12-08,Momentum & trend,0.122100
1998-12-08,Short-term reversal,0.021787
1998-12-08,Volatility,-0.115234
1998-12-08,Size,0.044814
1998-12-08,Liquidity & volume,0.021972
1998-12-08,Market correlation,0.078147
1998-12-08,Short positioning,0.014692
1998-12-15,Momentum & trend,-0.024072
1998-12-15,Short-term reversal,0.039264
1998-12-15,Volatility,-0.140822
1998-12-15,Size,-0.086508
1998-12-15,Liquidity & volume,-0.108252
1998-12-15,Market correlation,0.002683
1998-12-15,Short positioning,-0.041931
1998-12-22,Momentum & trend,-0.068521
1998-12-22,Short-term reversal,0.075605
1998-12-22,Volatility,-0.172861
1998-12-22,Size,-0.166753
1998-12-22,Liquidity & volume,-0.131298
1998-12-22,Market correlation,-0.056887
1998-12-22,Short positioning,-0.041330
1998-12-30,Momentum & trend,0.082215
1998-12-30,Short-term reversal,0.021610
1998-12-30,Volatility,-0.141492
1998-12-30,Size,-0.065444
1998-12-30,Liquidity & volume,-0.020985
1998-12-30,Market correlation,0.046542
1998-12-30,Short positioning,0.038814
1999-01-07,Momentum & trend,0.079687
1999-01-07,Short-term reversal,-0.088573
1999-01-07,Volatility,-0.069613
1999-01-07,Size,0.031835
1999-01-07,Liquidity & volume,0.011490
1999-01-07,Market correlation,0.032042
1999-01-07,Short positioning,0.028425
1999-01-14,Momentum & trend,0.174242
1999-01-14,Short-term reversal,0.044748
1999-01-14,Volatility,-0.036878
1999-01-14,Size,0.106166
1999-01-14,Liquidity & volume,0.124498
1999-01-14,Market correlation,0.126986
1999-01-14,Short positioning,0.090033
1999-01-22,Momentum & trend,0.191381
1999-01-22,Short-term reversal,0.055994
1999-01-22,Volatility,0.007897
1999-01-22,Size,0.176478
1999-01-22,Liquidity & volume,0.241596
1999-01-22,Market correlation,0.191195
1999-01-22,Short positioning,0.126559
1999-01-29,Momentum & trend,0.018896
1999-01-29,Short-term reversal,0.048400
1999-01-29,Volatility,-0.026110
1999-01-29,Size,0.027603
1999-01-29,Liquidity & volume,0.104489
1999-01-29,Market correlation,0.058834
1999-01-29,Short positioning,0.022468
1999-02-05,Momentum & trend,0.080225
1999-02-05,Short-term reversal,-0.023754
1999-02-05,Volatility,-0.014478
1999-02-05,Size,0.122704
1999-02-05,Liquidity & volume,0.108008
1999-02-05,Market correlation,0.165795
1999-02-05,Short positioning,0.079730
1999-02-12,Momentum & trend,0.082689
1999-02-12,Short-term reversal,-0.119384
1999-02-12,Volatility,-0.030688
1999-02-12,Size,0.128364
1999-02-12,Liquidity & volume,0.120679
1999-02-12,Market correlation,0.187416
1999-02-12,Short positioning,0.095021
1999-02-22,Momentum & trend,-0.001242
1999-02-22,Short-term reversal,-0.064336
1999-02-22,Volatility,-0.049673
1999-02-22,Size,0.026849
1999-02-22,Liquidity & volume,0.030368
1999-02-22,Market correlation,0.089747
1999-02-22,Short positioning,0.079031
1999-03-01,Momentum & trend,0.054565
1999-03-01,Short-term reversal,-0.059767
1999-03-01,Volatility,-0.058678
1999-03-01,Size,0.042042
1999-03-01,Liquidity & volume,0.089338
1999-03-01,Market correlation,0.132062
1999-03-01,Short positioning,0.126058
1999-03-08,Momentum & trend,0.025803
1999-03-08,Short-term reversal,-0.079627
1999-03-08,Volatility,-0.104087
1999-03-08,Size,-0.006995
1999-03-08,Liquidity & volume,0.048727
1999-03-08,Market correlation,0.080158
1999-03-08,Short positioning,0.105643
1999-03-15,Momentum & trend,0.054400
1999-03-15,Short-term reversal,-0.040119
1999-03-15,Volatility,-0.090759
1999-03-15,Size,-0.002939
1999-03-15,Liquidity & volume,0.045251
1999-03-15,Market correlation,0.089234
1999-03-15,Short positioning,0.091036
1999-03-22,Momentum & trend,-0.106117
1999-03-22,Short-term reversal,0.037177
1999-03-22,Volatility,0.034565
1999-03-22,Size,-0.062444
1999-03-22,Liquidity & volume,0.011349
1999-03-22,Market correlation,-0.018623
1999-03-22,Short positioning,0.014911
1999-03-29,Momentum & trend,-0.083862
1999-03-29,Short-term reversal,0.055961
1999-03-29,Volatility,0.042524
1999-03-29,Size,-0.027216
1999-03-29,Liquidity & volume,0.035314
1999-03-29,Market correlation,0.033403
1999-03-29,Short positioning,0.014821
1999-04-06,Momentum & trend,-0.200621
1999-04-06,Short-term reversal,0.214432
1999-04-06,Volatility,0.074125
1999-04-06,Size,-0.124059
1999-04-06,Liquidity & volume,-0.027678
1999-04-06,Market correlation,-0.093237
1999-04-06,Short positioning,-0.098846
1999-04-13,Momentum & trend,-0.277436
1999-04-13,Short-term reversal,0.213244
1999-04-13,Volatility,0.092790
1999-04-13,Size,-0.185885
1999-04-13,Liquidity & volume,-0.073925
1999-04-13,Market correlation,-0.141031
1999-04-13,Short positioning,-0.130980
1999-04-20,Momentum & trend,-0.173539
1999-04-20,Short-term reversal,0.049627
1999-04-20,Volatility,-0.006079
1999-04-20,Size,-0.191189
1999-04-20,Liquidity & volume,-0.133518
1999-04-20,Market correlation,-0.111215
1999-04-20,Short positioning,-0.060176
1999-04-27,Momentum & trend,-0.314387
1999-04-27,Short-term reversal,0.053638
1999-04-27,Volatility,0.078229
1999-04-27,Size,-0.243748
1999-04-27,Liquidity & volume,-0.205652
1999-04-27,Market correlation,-0.255120
1999-04-27,Short positioning,-0.122665
1999-05-04,Momentum & trend,-0.146173
1999-05-04,Short-term reversal,0.059914
1999-05-04,Volatility,0.001399
1999-05-04,Size,-0.154443
1999-05-04,Liquidity & volume,-0.067331
1999-05-04,Market correlation,-0.103212
1999-05-04,Short positioning,-0.021090
1999-05-11,Momentum & trend,-0.028784
1999-05-11,Short-term reversal,0.108504
1999-05-11,Volatility,-0.000983
1999-05-11,Size,-0.100001
1999-05-11,Liquidity & volume,-0.080253
1999-05-11,Market correlation,-0.087825
1999-05-11,Short positioning,-0.009789
1999-05-18,Momentum & trend,0.030934
1999-05-18,Short-term reversal,0.065426
1999-05-18,Volatility,0.006794
1999-05-18,Size,-0.029987
1999-05-18,Liquidity & volume,-0.009905
1999-05-18,Market correlation,-0.036920
1999-05-18,Short positioning,0.017394
1999-05-25,Momentum & trend,0.187596
1999-05-25,Short-term reversal,0.159882
1999-05-25,Volatility,-0.048872
1999-05-25,Size,0.029337
1999-05-25,Liquidity & volume,0.037466
1999-05-25,Market correlation,0.063322
1999-05-25,Short positioning,0.072932
1999-06-02,Momentum & trend,0.053493
1999-06-02,Short-term reversal,0.101289
1999-06-02,Volatility,-0.064063
1999-06-02,Size,0.011800
1999-06-02,Liquidity & volume,0.098445
1999-06-02,Market correlation,0.078767
1999-06-02,Short positioning,0.100711
